,True,Expert (BDIM),Z-Score (LILA),Cusum (LILA)
p523,2019-01-15 23:00:00,2019-01-15 23:00:00,2019-01-15 23:00:00,2019-01-15 23:00:00
p827,2019-01-24 18:30:00,2019-01-24 18:30:00,2019-01-24 18:30:00,2019-01-24 18:30:00
p653,2019-03-03 13:10:00,2019-03-10 12:00:00,2019-03-19 07:45:00,2019-03-21 09:50:00
p710,2019-03-24 14:15:00,2019-03-24 14:20:00,2019-03-24 16:15:00,2019-03-24 16:20:00
p514,2019-04-02 20:40:00,2019-04-02 20:40:00,2019-04-02 21:10:00,2019-04-02 21:05:00
p331,2019-04-20 10:10:00,2019-04-20 10:10:00,2019-04-20 10:10:00,2019-04-20 10:10:00
p193,2019-05-19 10:40:00,2019-06-01 18:55:00,2019-06-20 13:25:00,2019-06-26 12:15:00
p142,2019-06-12 19:55:00,2019-06-12 19:55:00,2019-06-12 19:55:00,2019-06-12 20:00:00
p680,2019-07-10 08:45:00,2019-07-10 08:45:00,2019-07-10 17:05:00,2019-07-10 10:10:00
p586,2019-07-26 14:40:00,2019-08-01 00:30:00,2019-08-12 20:55:00,2019-08-08 07:10:00
p721,2019-08-02 03:00:00,2019-08-18 19:00:00,2019-09-04 11:40:00,2019-09-01 11:25:00
p800,2019-08-16 14:00:00,2019-08-19 07:40:00,2019-08-21 13:40:00,2019-08-21 11:35:00
p123,2019-09-13 20:05:00,,2019-11-04 09:25:00,2019-11-09 19:05:00
p455,2019-10-03 14:00:00,2019-10-15 00:00:00,2019-11-14 16:05:00,2019-11-10 01:00:00
p762,2019-10-09 10:15:00,2019-10-21 18:00:00,2019-10-29 12:20:00,2019-10-25 17:45:00
p426,2019-10-25 13:25:00,2019-10-25 13:40:00,2019-10-25 14:00:00,2019-10-25 13:55:00
p879,2019-11-20 11:55:00,2019-11-25 00:00:00,2019-11-20 20:55:00,2019-11-23 15:25:00
